@relation   union_files_*.arff_(total_attributes:_6_total_instances:_294)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute EVALUATING/EXAMINING numeric
@attribute final_score {Fail,Pass}

@data
443.01139,288.484205,301.430857,637.582588,0,Fail
263.697115,91.048853,170.826879,325.921398,0,Fail
266.76066,117.624755,186.706655,330.44022,0,Fail
460.509055,236.099193,334.270948,493.616083,0,Fail
163.811319,29.001237,96.567851,169.499763,0,Fail
165.153569,32.777486,85.298851,158.815998,0,Fail
278.454739,68.472602,174.415517,295.94513,0,Fail
216.593507,21.805645,188.818944,250.93519,0,Fail
185.481705,32.847647,144.360105,206.705337,0,Fail
282.279316,80.628841,241.741344,357.863125,0,Fail
256.088135,86.136742,178.52275,333.133701,0,Fail
235.524096,29.176913,156.81235,239,0,Fail
291.394188,60.847644,213.43379,389.320255,0,Fail
264.11246,55.084629,154.449117,281.978971,0,Fail
223.391465,36.156787,143.502686,235.524272,0,Fail
167,46,100,277.5,186,Fail
19,0,6,16.5,0,Fail
7,1,4,11,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
