@relation logs_15122016-1232.xls-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data

185,11,21,160.5,Fail
91,30,12,88,Pass
70,1,11,77.5,Fail
59,38,7,76.5,Fail
167,61,16,161,Fail
317,80,12,259.5,Fail
182,35,16,163,Pass
26,34,3,42,Fail
143,41,17,163,Fail
110,12,12,108.5,Fail
117,10,13,106.5,Fail
40,22,12,67,Fail
131,104,17,156,Pass
243,59,12,235.5,Pass
123,34,13,113.5,Pass
87,26,15,133,Fail
201,24,11,185.5,Fail
53,2,9,54.5,Pass
144,36,19,140,Fail
117,20,7,199,Pass
111,37,10,131,Fail
273,62,29,413,Fail
95,14,11,84.5,Fail
124,26,9,208.5,Pass
158,69,35,239,Pass
119,37,9,132,Fail
197,40,20,202.5,Pass
145,44,10,154.5,Fail
137,30,11,126,Pass
48,6,12,51,Fail
182,14,7,130.5,Fail
207,74,17,194,Pass
119,32,10,138.5,Pass
329,96,16,340,Fail
102,44,9,146.5,Fail
219,71,13,193,Pass
284,84,20,279.5,Fail
64,24,14,103,Fail
361,52,12,479,Fail
204,59,10,175,Fail
111,8,30,120.5,Pass
176,23,17,145.5,Pass
256,55,29,216,Pass
211,3,13,140.5,Pass
171,50,14,175,Pass
143,66,30,171,Pass
90,21,8,76.5,Fail
125,31,9,101.5,Pass
133,25,11,144,Fail
144,35,16,171.5,Fail
369,131,27,337,Pass
233,48,15,222.5,Pass
161,52,30,166,Pass
107,28,10,91.5,Fail
113,26,14,103,Fail
69,32,12,114,Pass
122,31,13,118.5,Pass
0,0,0,0,Pass
88.789589,30.81488,12,105.130548,Pass
182.091758,39.818524,19.759462,200.414199,Pass
145.612621,56.47393,19.071414,159.690026,Pass
238.825185,70.558038,15.299464,228.995004,Pass
115.51233,11.139163,20.653713,113.533968,Pass
25.273837,0.512031,7.721796,28.245808,Pass
118.221183,31.459169,7.822207,187.492766,Pass
124.395323,30.187126,12.739152,185.533125,Pass
163.078139,63.017999,22.315165,224.16126,Pass
202.129427,67.587171,19.731712,196.872397,Pass
132.881564,31.983764,10.413752,138.027685,Pass
211.495794,72.609951,15.665559,193.556788,Pass
117.531678,16.715117,15.558746,132.36353,Pass
213.102586,72.286353,14.232372,193.717322,Pass
111.184613,17.333859,25.877868,114.891901,Pass
173.060921,44.308148,14.90298,151.536749,Pass
221.719896,58.313051,20.604901,195.562619,Pass
177.547402,10.665866,13.637497,140.802234,Pass
160.559547,64.569059,18.867775,171.767037,Pass
162.870224,35.399834,27.854553,165.315402,Pass
123.981226,32.962947,11.831073,104.690838,Pass
269.022366,129.397139,21.085609,326.557279,Pass
225.69741,64.701941,15.706678,218.083213,Pass
168.430289,41.823248,25.910692,163.370672,Pass
98.147141,33.283673,12.970622,113.568371,Pass
119.339767,31.043703,11.626899,135.748995,Pass
7.666942,16.73568,3.135926,52.508443,Pass
