@relation   union_files_*.arff_(total_attributes:_6_total_instances:_150)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
79,8,3,38,79,Pass
162,6,4,34,126,Pass
166,21,0,33,133,Pass
123,5,10,30,96,Fail
18,1,0,1,14,Pass
148,17,0,31,115,Fail
63,2,3,57,77.5,Pass
156,21,5,51,135,Pass
29,0,0,28,35.5,Pass
345,366,3,64,446,Pass
191,110,3,37,202,Pass
180,169,3,43,261.5,Fail
241,3,5,40,170,Pass
171,50,3,42,161.5,Fail
173,6,3,43,137,Pass
171,65,4,41,272,Fail
167,132,4,58,213.5,Pass
226,2,1,32,171,Fail
161,6,3,35,123,Pass
180,184,0,51,249.5,Pass
108,11,3,37,118.5,Pass
109,49,4,60,133.5,Pass
173,28,4,28,141.5,Pass
331,490,4,46,487,Pass
155,9,0,37,122.5,Pass
180,1,4,39,368.5,Fail
116,3,0,43,94,Fail
107,19,3,15,130.5,Fail
195,15,4,35,146.5,Pass
205,11,3,46,160.5,Pass
169,100,5,52,197.5,Pass
122,32,3,43,127,Pass
90,47,3,48,150,Pass
123,17,3,43,113.5,Pass
51,2,4,34,66.5,Fail
170,7,4,41,172.5,Fail
254,183,4,64,292.5,Pass
119,9,3,52,107.5,Fail
325,382,3,81,446.5,Pass
151,42,3,30,151,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
122.296687,4.18512,9.637646,38.565274,94.578521,Fail
150.891114,40.496635,2.841585,30.062918,129.298276,Fail
178.565944,130.623734,3.864463,41.921481,267.625215,Fail
170.843253,33.737312,3.139763,41.305052,170.357505,Fail
170.147746,63.641752,4,41,264.498914,Fail
193.682385,3.024568,2.870091,33.662364,171.016027,Fail
202.367941,1.487515,3.620275,38.088539,327.760512,Fail
117.523215,3.864014,2.331558,31.431186,94.076654,Fail
111.964115,24.262446,3,23.793726,150.225404,Fail
75.352218,2.46335,2.665559,37.988912,80.363728,Fail
205.664727,5.610313,2.977255,38.607894,172.324995,Fail
115.302885,16.173224,3,44.248769,111.470923,Fail
167.023141,42.878728,3,36.320712,154.780576,Fail
31.353863,3.889582,2.250224,29.493096,77.147386,Fail
0,0,0,0,83,Fail
0,0,0,0,126.5,Fail
0,0,0,0,13,Fail
0,0,0,0,70,Fail
0,0,0,0,274.5,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,73.760385,Fail
0,0,0,0,76.257446,Fail
0,0,0,0,5.4164,Fail
0,0,0,0,115.495369,Fail
0,0,0,0,259.083195,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
396,514,3,36,550,Pass
143,476,5,24,361.5,Pass
239,167,4,23,248.5,Pass
363,467,8,34,491.5,Fail
55,83,2,18,93.5,Pass
228,342,5,34,341,Pass
101,227,2,20,202.5,Fail
180,209,2,20,235.5,Pass
127,47,2,21,113.5,Fail
126,80,3,20,146,Pass
703,158,4,48,512.5,Fail
152,0,3,19,101,Pass
126,90,4,21,173.5,Fail
444,293,3,65,612,Fail
307,376,5,73,491.5,Pass
123,2,5,17,94.5,Fail
212,52,5,20,167,Pass
132,112,4,21,160,Fail
399,360,2,23,442.5,Pass
121,251,2,19,232,Pass
193,300,4,35,311.5,Pass
223,190,2,27,255,Pass
226,210,4,33,302,Pass
124,13,3,17,101.5,Fail
103,120,3,23,162.5,Pass
222,274,5,22,293.5,Pass
154,224,0,25,229.5,Pass
201,486,3,34,436.5,Pass
382,276,3,25,388.5,Pass
57,50,0,19,82,Pass
276,512,6,36,469.5,Pass
100,37,3,17,98.5,Pass
417,719,4,32,668.5,Pass
196,55,3,24,161.5,Pass
60,16,3,23,71.5,Fail
151,26,1,17,122,Pass
212,296,2,31,312.5,Pass
371.138331,396.105475,7.818823,54.424884,577.144125,Fail
123.16521,25.868807,2.947195,17.188754,162.385391,Fail
126.521981,34.453913,2.864463,18.842961,106.499754,Fail
649.706057,274.864432,4.559051,38.270728,495.590217,Fail
124.295493,88.196809,3.29499,19.89988,168.072078,Fail
397.254879,328.654957,6.116819,59.27408,610.712528,Fail
124.458779,44.901322,4.873425,17.520835,110.795795,Fail
130.911989,83.919553,3.533688,21,158.217799,Fail
124.902566,35.651396,3.991882,19.344994,157.789567,Fail
83.602919,9.513103,3.66722,20.340725,83.095118,Fail
