@relation   union_files_*.arff_(total_attributes:_6_total_instances:_148)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
71,9,1,23,68.5,Fail
90,1,3,36,90.5,Fail
44,0,3,25,52,Fail
220,25,17,79,215.5,Pass
146,3,6,42,128.5,Fail
0,0,0,0,2,Fail
75,4,5,34,82,Fail
37,1,0,17,52.5,Fail
81,13,7,33,86.5,Pass
110,4,5,42,106,Fail
25,0,0,5,41.5,Fail
171,3,13,63,185,Fail
105,0,5,36,95,Pass
126,5,1,15,90,Fail
55,0,3,24,58,Fail
241,4,4,43,184.5,Pass
50,1,1,40,55,Fail
18,0,2,27,59,Fail
40,1,0,27,45,Fail
131,7,3,42,130,Fail
88,1,2,12,71,Fail
156,2,4,33,131.5,Fail
77,0,0,38,71,Pass
24,0,1,16,27,Fail
124,6,10,42,111,Pass
10,0,0,0,7,Fail
10,0,2,8,30.5,Fail
10,0,1,2,9.5,Fail
136,0,4,48,129,Fail
78,5,12,23,79.5,Fail
108,2,5,30,128,Fail
133,0,5,33,120,Fail
123,3,8,32,111,Fail
90,0,1,23,67,Fail
81,5,0,1,91.5,Fail
210,18,16,139,280,Pass
47,3,3,27,57.5,Fail
130,5,7,43,111.5,Pass
97,2,5,17,71,Pass
186,5,7,39,160.5,Fail
30,0,1,0,20,Fail
121,25,19,43,129,Pass
71,1,5,26,69.5,Fail
85,12,18,36,97,Pass
17,0,0,11,22.5,Fail
135,0,5,57,125,Fail
0,0,0,0,2,Fail
126,1,5,33,104,Fail
24,0,1,13,42,Fail
118,0,1,35,99.5,Fail
29,1,2,5,27.5,Fail
76,4,5,30,71,Fail
31,0,0,6,25.5,Fail
91,36,19,20,132,Fail
47,1,4,24,48,Fail
28,0,5,25,34.5,Fail
116,5,9,50,129,Fail
280,9,5,40,202.5,Pass
54,0,9,34,64,Pass
28,0,1,23,34,Fail
106,11,8,48,114,Fail
92,0,1,31,85.5,Fail
57,0,0,18,45.5,Fail
3,0,0,0,2.5,Fail
58,1,10,29,61,Fail
191,29,7,29,147,Pass
137,3,1,14,148,Fail
93,0,6,34,91.5,Pass
103,21,26,32,130,Pass
71,0,0,21,71,Fail
61,2,2,26,73.5,Fail
27,1,1,14,68,Fail
21,0,0,2,18,Fail
54,1,1,0,34,Fail
53,0,3,7,48.5,Fail
98,15,12,31,91.5,Pass
100,1,7,35,101,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
0,0,0,0,0,Fail
222.109938,16.443764,16.52894,55.280779,193.467072,Pass
77.145181,0.78175,0.369636,37.685411,80.343798,Pass
103.087925,0,5.864463,34.921481,92.958262,Pass
237.708315,11.942243,5.816915,68.018127,209.462061,Pass
90.636057,0,4.23006,36.89988,72.54545,Pass
127.462602,5.795086,8.129909,42.184707,111.005342,Pass
200.761068,23.362665,14.860825,124.677042,252.565307,Pass
128.041581,13.640138,9.79787,43,112.170721,Pass
97.902566,1.542396,5,28.13872,94.093156,Pass
114.256309,23.146601,21.335271,38.124663,129.504136,Pass
90.094961,8.664752,13.90902,35.468421,96.358313,Pass
258.433496,15.455902,15.586561,60.739781,215.880284,Pass
72.426613,0,4.330918,36.106904,66.520384,Pass
175.450523,10.330007,7,42.763445,118.471539,Pass
93.450733,6.56134,7.924707,32.036722,91.5,Pass
121.487503,10.394337,14.426054,37.094929,111.245059,Pass
90.244476,12.158219,15.056322,34.271578,95.392725,Pass
206,62,35,59,213.5,Pass
58,2,5,58,69.5,Pass
166,2,4,38,168.5,Fail
345,12,7,46,283.5,Fail
0,0,0,0,2,Fail
314,134,27,68,317.5,Pass
102,13,1,41,113,Fail
140,30,3,65,137,Pass
174,60,16,39,179.5,Pass
121,15,5,51,117,Pass
86,9,10,63,121.5,Fail
248,144,36,74,314,Pass
253,22,24,79,267,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Pass
0,0,0,0,0,Fail
159.569714,6.481838,3.891294,39.976602,129.053951,Fail
12.521845,0.721615,0.369636,2.894221,171.695423,Fail
0,0,0,0,0.833292,Fail
112.031801,8.839778,1.419288,38.915156,157.690141,Fail
12.706193,8.789237,2.9499,45.673113,112.491158,Fail
0,0,0,0,0.021369,Fail
195,52,3,25,158.5,Pass
134,50,4,32,158.5,Fail
115,28,8,24,106.5,Pass
189,156,10,29,254,Pass
77,17,5,24,76.5,Pass
145,49,4,20,131,Pass
221,9,7,33,166,Pass
122,91,5,40,165,Pass
282,28,4,30,222.5,Fail
99,42,2,13,89.5,Pass
63,63,5,16,107,Fail
164,70,7,18,180.5,Fail
99,36,2,23,103.5,Pass
113,17,3,23,129,Fail
80,17,4,24,83.5,Pass
233,45,5,31,190.5,Pass
179,211,10,35,271.5,Pass
128,21,7,17,123,Fail
137.014196,58.148796,4.108706,22.775859,174.136272,Fail
119.133889,17.661481,3.052805,23.440425,185.364199,Fail
70.966978,46.025882,3.271074,19.774818,119.833785,Fail
158.357112,51.4681,7,17.305052,134.199403,Fail
70.387322,18.077231,4.41002,21.07479,127.341468,Fail
119.343496,20.180346,4.506545,18.108243,123.064106,Fail
