@relation   union_files_*.arff_(total_attributes:_5_total_instances:_73)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
70,12,32,78,Fail
95,30,12,105.5,Pass
28,3,12,39.5,Fail
36,4,17,38.5,Pass
105,15,10,105,Fail
74,13,30,89.5,Pass
55,6,21,62,Pass
77,0,26,74,Fail
70.703313,7.110722,31.782588,75.364531,Fail
28.299742,0.108886,25.158115,72.178225,Fail
91.361554,1.290557,12.549433,93.560921,Fail
71.317613,2.311608,16.761502,68.592232,Fail
86,4,18,79.5,Fail
57,7,28,59.5,Pass
155,11,37,171,Pass
40,0,8,35,Fail
83,5,17,74,Pass
153,27,39,189.5,Fail
96,22,22,92,Pass
54,15,15,68,Fail
60,5,17,70.5,Fail
116,0,20,126,Fail
43,10,12,46,Pass
62,16,17,101.5,Pass
78,14,31,123,Fail
44,3,21,43.5,Fail
118,36,31,133,Pass
80,8,17,88,Fail
52,7,16,61.5,Pass
78,11,21,81,Pass
101,3,14,104.5,Fail
136,19,26,131,Pass
390,30,38,317.5,Pass
117,5,23,160,Pass
85.397161,5.629759,17.963765,85.100372,Fail
40.28139,3.854819,17.398654,77.150174,Fail
116.468447,15.118483,37.725284,164.96133,Fail
57.710947,6.524105,16.979678,69.802589,Fail
47.520549,0.603685,12.948034,70.327735,Fail
97.167134,5.951876,19.573932,107.694325,Fail
79.221183,8.270415,27.163033,116.342923,Fail
44.448745,3.161043,20.465835,62.954294,Fail
80.781252,7.174896,17.845656,84.544403,Fail
97.502663,3.889909,14.153308,89.690519,Fail
18,2,1,40,Fail
73,12,11,122,Fail
57,2,19,71,Fail
75,7,10,170.5,Fail
74,6,12,102.5,Pass
189,9,5,193,Pass
13,0,6,18.5,Pass
45,7,16,45,Pass
46,4,11,53.5,Pass
57,1,6,221.5,Fail
143,22,19,172.5,Fail
18,2,8,31.5,Pass
34,4,12,52.5,Fail
87,11,18,100.5,Pass
122,4,8,142,Fail
72,5,13,90.5,Pass
59,2,7,63,Fail
21,0,10,24,Pass
98,17,10,104.5,Pass
0,0,0,0,Pass
19.607571,2.81488,1.398589,48.23584,Fail
72.914359,2.362952,7.240538,66.1155,Fail
45.79699,3.827926,17.884623,64.173453,Fail
82.885762,18.558038,15.939034,170.813494,Fail
57,1.879263,11.852839,220.769694,Fail
106.380539,14.560155,17.863818,148.172721,Fail
49.264788,2.090138,10.629655,54.497123,Fail
121.305513,3.677913,9.958603,103.631808,Fail
58.739583,2,17.147868,66.252327,Fail
