@relation   union_files_*.arff_(total_attributes:_6_total_instances:_202)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
221,28,0,51,196.5,Fail
159,37,0,55,155.5,Fail
139,52,3,65,157,Pass
79,17,0,34,85,Pass
209,60,6,148,273,Fail
201,153,6,75,283.5,Fail
220,31,6,97,202.5,Fail
216,25,1,59,206,Fail
171,65,4,65,227,Fail
119,57,3,99,170.5,Pass
211,7,1,59,158.5,Pass
267,183,7,135,342,Pass
327,113,5,131,354,Pass
338,224,5,116,396,Fail
57,2,3,47,65,Fail
240,139,3,72,279,Pass
171,131,1,53,209.5,Fail
170,17,3,66,154.5,Pass
130,36,3,115,170,Fail
234,109,5,78,255,Pass
131,31,1,68,146,Fail
218,141,3,90,276.5,Fail
152,21,3,58,148.5,Pass
159,5,0,100,170,Fail
56,1,5,58,73.5,Fail
234,132,3,67,264,Pass
124,12,4,71,152.5,Pass
186,6,1,51,147.5,Fail
41,0,0,54,72.5,Fail
223,23,3,55,184,Pass
162,25,1,62,143.5,Fail
78,4,0,56,91,Fail
157,35,3,83,165,Pass
152,60,0,45,161.5,Pass
366,365,6,85,476.5,Pass
213,12,3,58,176.5,Pass
109,19,0,51,128,Fail
145,8,7,62,128,Fail
193,128,1,55,228,Pass
277,45,4,108,254,Pass
167,110,3,76,213,Pass
254,110,3,60,288,Fail
336,144,20,99,380.5,Fail
259,87,4,87,265,Pass
332,105,3,83,314,Pass
359,297,5,94,440,Pass
149,47,3,54,180,Fail
221,13,3,70,210,Pass
166,133,3,66,223.5,Pass
141,40,4,41,135,Fail
0,0,0,0,0,Fail
140.306152,55.259518,2.891294,51.822655,160.198328,Pass
149.35045,57.414212,0,44.307904,115.383837,Pass
122.186791,55.154987,3,80.665171,162.624723,Pass
212.880963,13.051233,1.279525,56.220208,179.033308,Pass
322.396482,181.173391,4.17996,120.698443,339.889142,Pass
329.885501,111.360692,3.753272,122.13406,353.572624,Pass
217.1458,133.637335,2.74685,69.786452,268.47993,Pass
167.171172,24.776124,3,81.128449,154.902432,Pass
226.441006,109.228802,3.016236,76.827503,214.586978,Pass
158.743691,19.146601,3,61.5457,151.524813,Pass
249.921753,119.492821,3.340915,72.315791,264.11667,Pass
138.172274,15.586612,3.037585,69.952536,152.845298,Pass
214.988429,21.791748,3,56.580178,181.299588,Pass
155.725453,24.109171,3,58.42242,151.740293,Pass
152,42.940515,0.962353,53.507538,156.652647,Pass
278.844629,236.317951,6.723372,110.474646,343.734762,Pass
218.965788,22.419862,3,56.037053,181.808261,Pass
197.688263,134.788605,1.056241,65.054465,231.724327,Pass
261.833082,30.867588,3.646661,99.786325,228.326008,Pass
166.401368,116.718148,3,68.557504,217.443944,Pass
329.855373,102.53864,3.209149,83.625299,286.385298,Pass
327.687751,112.215392,3.124977,119.663383,331.108003,Pass
332.864557,175.949525,3.894384,88.02239,414.584305,Pass
208.429233,13.993955,3,68.649116,176.292903,Pass
189.729659,128.835481,2.470272,59.656172,224.089807,Pass
321,232,5,122,411.5,Pass
97,0,3,49,90.5,Pass
206,107,3,71,254.5,Pass
162,66,9,102,203,Pass
349,329,6,103,511.5,Pass
306,4,5,84,243,Pass
184,25,3,66,165.5,Pass
297,456,6,209,536.5,Pass
136,20,0,59,186,Fail
187,116,4,58,227.5,Pass
199,72,0,80,203,Pass
252,87,6,70,254,Pass
231,45,5,74,219.5,Pass
326,182,7,96,443.5,Pass
150,70,3,78,190.5,Fail
366,381,11,137,516.5,Pass
160,34,5,55,169.5,Pass
448,37,7,138,378.5,Pass
179,61,6,66,201,Pass
43,8,0,52,66.5,Fail
205,240,3,102,328.5,Pass
109,11,1,61,113.5,Pass
231,114,4,75,295.5,Pass
131,42,5,73,164.5,Fail
126,58,3,65,159,Fail
165,85,0,63,224.5,Fail
173,32,3,72,185.5,Pass
137,37,5,64,171.5,Fail
251,88,5,67,260,Pass
94,31,1,51,132.5,Fail
235,109,3,63,284,Fail
43,78,0,18,80,Fail
216,77,3,112,249.5,Fail
178,108,6,75,225.5,Pass
200,103,4,110,262,Pass
271,54,1,77,253.5,Pass
159,20,5,63,157,Pass
192,233,5,92,299,Pass
85,30,10,63,153,Fail
124,16,0,42,112,Pass
136.100473,26.926477,0.181177,62.294336,175.694275,Fail
126.871085,58.721615,3,65.817932,177.989008,Fail
43,33.830179,0,33.665171,74.375277,Fail
130.216266,48.051233,4.720475,67.440416,160.071247,Fail
146.454086,58.281017,3,68.575389,161.374716,Fail
156.343496,81.926297,1.870091,65.770606,224.13673,Fail
143.321375,53.087996,4.74685,65.822922,175.419242,Fail
100.963268,42.664186,1.466312,63.458723,133.515663,Fail
223.943562,92.526257,4.983764,63.586248,175.750833,Fail
43,45.565515,0,33.069223,73.19417,Fail
173.966572,75.054439,3,102.963155,242.616452,Fail
101.020832,35.021257,5.187927,63.209493,156.194003,Fail
72,10,7,?,61,Fail
72,5,26,?,65,Fail
157,50,6,?,130.5,Pass
92,2,17,?,78,Pass
120,12,44,?,120,Fail
63,4,27,?,67.5,Fail
75,3,39,?,81,Fail
185,25,33,?,150,Pass
46,3,83,?,74.5,Pass
71,3,8,?,57,Fail
93,7,94,?,114.5,Pass
217,25,52,?,208,Fail
54,7,34,?,62,Fail
226,6,62,?,193.5,Pass
147,18,9,?,107,Pass
107,16,84,?,124,Fail
171,17,29,?,141.5,Fail
45,4,8,?,36.5,Fail
125,44,251,?,227.5,Pass
51,4,5,?,45.5,Pass
111,2,39,?,95.5,Pass
140,45,30,?,150.5,Fail
77,4,5,?,59,Pass
104,9,14,?,82.5,Fail
242,62,43,?,353.5,Fail
83,5,23,?,85.5,Fail
218,9,21,?,154.5,Pass
114,0,4,?,82,Pass
125,5,29,?,105,Pass
126,13,13,?,104.5,Fail
124,3,1,?,84.5,Pass
146,20,58,?,142,Pass
204,20,20,?,159,Pass
178,12,31,?,134,Pass
117,12,68,?,126,Pass
101,2,3,?,74,Pass
103,1,7,?,86.5,Fail
155,7,15,?,152.5,Pass
48,8,32,?,57.5,Fail
108,4,136,?,169.5,Fail
96,0,29,?,83.5,Pass
112,11,24,?,94.5,Pass
121,34,78,?,146,Pass
174,33,32,?,171.5,Pass
193,16,44,?,159.5,Pass
84,5,24,?,84.5,Fail
31,7,7,?,31.5,Fail
113,9,38,?,107,Pass
69,7,17,?,59.5,Pass
173,11,239,?,252.5,Pass
149,11,5,?,103,Pass
138,4,13,?,106.5,Pass
150,5,13,?,109.5,Pass
71.899527,7.147921,7.036235,?,58.364531,Fail
72,9.818524,8.142558,?,61.21122,Fail
113.667864,15.655852,50.373582,?,121.47601,Fail
64.391605,3.229464,34.918713,?,69.616083,Fail
61.896577,6.517052,36.748908,?,80.907802,Fail
66.814919,3.743984,10.698431,?,62.058147,Fail
169.984451,44.098615,45.97048,?,197.063373,Fail
54.224373,6.355827,34.890274,?,72.267544,Fail
108.692713,15.174896,50.173773,?,122.373837,Fail
160.507989,13.440365,28.38677,?,119.581968,Fail
50.948852,3.008118,8,?,56.225404,Fail
151.614135,32.026206,29.66639,?,146.511088,Fail
108.037884,11.547481,13.722063,?,90.00013,Fail
229.71372,46.134985,45.772836,?,249.129591,Fail
