@relation   union_files_*.arff_(total_attributes:_6_total_instances:_204)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
179,30,4,41,164,Fail
124,26,9,50,126.5,Pass
242,4,1,56,184.5,Fail
174,18,1,25,143,Fail
140,4,7,56,136,Fail
120,2,3,39,102,Fail
76,28,7,59,104.5,Pass
76,2,4,44,80,Pass
94,14,8,68,115,Pass
111,1,6,57,104.5,Pass
234,41,11,61,234,Pass
70,2,4,67,88.5,Pass
131,3,10,44,118,Pass
105,4,4,41,123.5,Fail
325,49,10,63,271,Pass
39,4,6,57,60.5,Pass
151,8,2,52,163.5,Fail
100,17,2,38,116,Fail
135,28,14,79,184,Fail
181,25,23,58,191.5,Fail
61,1,3,43,68,Fail
165,10,7,18,123.5,Fail
129,1,8,61,157,Fail
196,80,28,56,248.5,Fail
225,1,5,58,224,Fail
157,13,10,56,162,Fail
121,42,22,62,154.5,Pass
151,6,9,61,143,Pass
101,25,8,63,126.5,Pass
144,2,0,59,133,Fail
74,51,11,67,124.5,Pass
120,9,3,36,96,Fail
124,5,4,67,118.5,Pass
72,40,5,69,140,Fail
84,10,2,61,95.5,Pass
124,13,5,54,116,Fail
217,22,11,75,238.5,Fail
175,2,11,54,138.5,Fail
89,25,6,58,133,Fail
61,10,2,32,62,Fail
140,2,13,63,133.5,Pass
114,5,5,50,172,Fail
99,10,3,50,93,Pass
188,88,28,75,223,Pass
132,13,11,71,149,Fail
58,7,0,46,67.5,Fail
307,51,8,88,329.5,Fail
42,5,9,63,100.5,Fail
170,57,9,48,189.5,Pass
108,3,4,46,114.5,Fail
57,3,14,53,85.5,Pass
88,0,10,53,141.5,Fail
129,17,4,43,130,Fail
231,114,24,58,254.5,Pass
0,0,0,0,0,Fail
124.703313,16.628885,9.036235,46.046797,120.458713,Pass
70.217771,3.5635,4.158415,66.496657,98.145211,Pass
72.972549,2.369003,12.64463,48.853337,83.208446,Pass
92.432531,12.487192,7.161424,63.135364,99.298058,Pass
96.511689,1.304435,7.41002,60.025329,105.291572,Pass
207.453388,50.630937,21.597185,63.585899,233.882471,Pass
72.917557,14.675391,4.379725,65.95833,91.800414,Pass
129.476785,12.936158,9.766844,49.339453,118.325779,Pass
305.369181,39.161515,9.008118,61.827503,147.836504,Pass
45.743691,3.53665,8.668882,55.22715,73.103389,Pass
133.100532,30.882507,18.931765,62.26579,152.049924,Pass
142.681491,20.346448,9,58.69558,140.151294,Pass
95.391901,23.791748,8,65.63363,122.359369,Pass
79.098189,22.217095,10.324933,67.983103,116.865623,Pass
125.442345,3.687732,6.88706,64.382296,124.0931,Pass
97.205359,10,2.723372,55.395578,93.032245,Pass
146.562367,5.789041,10.962452,61.691369,140.223798,Pass
96.705744,21.108626,3.112481,55.322952,93.839799,Pass
177.607852,35.324647,21.286555,72.83035,193.658295,Pass
180.775385,66.054896,25.65241,68.09474,203.678296,Pass
75.441809,24.581445,8.464041,58.062051,93.792258,Pass
193.914661,90.549977,24.249954,70.984948,241.027447,Pass
160,133,14,52,208.5,Fail
165,70,8,63,226,Fail
305,96,28,70,306.5,Pass
128,65,57,97,224,Fail
229,42,14,58,200,Pass
133,66,6,111,218.5,Fail
94,30,6,70,125,Pass
96,5,10,59,98,Pass
252,189,43,90,367.5,Pass
104,18,8,40,114,Fail
366,63,17,82,355.5,Fail
335,37,49,99,365,Pass
132,30,8,62,156,Fail
96,3,5,48,93,Pass
285,103,27,93,305,Pass
163,45,8,66,175.5,Fail
179,88,32,59,220.5,Pass
144,114,23,74,217.5,Pass
56,3,14,45,79,Fail
104,0,6,94,195,Fail
212,9,9,46,181,Pass
101,17,1,65,119.5,Pass
96,26,5,73,139.5,Fail
247,51,10,98,244.5,Pass
102,39,6,70,131,Pass
78,15,6,38,84.5,Pass
120,22,8,58,140,Pass
181,53,6,77,198,Pass
77,8,2,54,86,Pass
69,3,8,34,124,Fail
123,135,16,67,243.5,Fail
87,0,6,60,89,Fail
115,4,8,51,132,Fail
141,85,9,52,183.5,Pass
120,17,7,44,114,Pass
49,6,1,78,87.5,Pass
377,202,70,128,483,Pass
307,42,44,111,300,Pass
156.282491,133.81488,14.072471,61.883009,233.375887,Fail
129.342923,65.300673,54.412551,94.860793,225.205651,Fail
128.796698,65.369003,12.912388,104.549635,220.791554,Fail
138.0159,67.512808,6.279525,77.642497,224.539208,Fail
89.511689,17.578475,6.58998,45.500599,112.115305,Fail
250.002847,64.434395,11.389726,78.490565,354.116369,Fail
