@relation logs_15122016-1239.xls-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data

275,11,120,261.5,Fail
162,17,91,163,Pass
99,0,58,116.5,Fail
122,33,48,139.5,Fail
201,31,98,213.5,Fail
368,60,133,364.5,Pass
167,7,61,150.5,Pass
83,12,17,64.5,Fail
251,30,94,295,Pass
147,7,70,156.5,Fail
149,10,62,156.5,Pass
146,35,67,162.5,Fail
376,64,217,411,Pass
181,24,58,192.5,Fail
124,13,78,159.5,Fail
311,23,74,281.5,Fail
92,10,66,110.5,Fail
176,10,116,216,Pass
120,12,46,134.5,Pass
208,22,67,181.5,Fail
332,55,160,343.5,Pass
113,6,40,109,Fail
167,20,81,164.5,Fail
149,23,41,142.5,Fail
261,41,109,270.5,Fail
198,36,50,194,Pass
98,8,51,125,Fail
223,48,66,210.5,Pass
176,29,77,205,Fail
387,47,78,358.5,Fail
148,28,63,199,Fail
277,38,97,318.5,Fail
74,7,38,81.5,Fail
364,78,79,343.5,Fail
300,21,117,288.5,Fail
256,37,56,226,Fail
264,26,125,308.5,Fail
214,31,67,195.5,Pass
227,41,84,247.5,Pass
300,54,142,307.5,Pass
246,4,94,214.5,Pass
214,53,83,230,Pass
150,19,48,144,Pass
132,25,67,160,Fail
146,11,56,135.5,Fail
145,31,58,146.5,Pass
118,24,84,176,Fail
95,0,46,95.5,Fail
192,25,98,229,Fail
297,67,74,380.5,Fail
245,59,65,244.5,Fail
228,45,73,228.5,Fail
297,33,103,276.5,Pass
249,73,77,246,Pass
174,10,61,191,Fail
172,33,51,170.5,Fail
200,16,66,178.5,Pass
0,0,0,0,Pass
160.693848,14.147921,89.949174,158.717363,Pass
367.56568,33.97997,104.804038,281.146847,Pass
158.719515,17.967555,58.928586,148.101483,Pass
256.682387,48.492861,125.67485,296.959336,Pass
130.904796,11.758526,54.796505,156.393244,Pass
336.241728,56.560155,206.348297,361.141121,Pass
190.654197,15.729585,102.296545,208.867417,Pass
120.502167,11.194783,48.670823,143.146353,Pass
336.687513,56.031379,137.167297,352.037357,Pass
203.828895,46.678905,50.61323,203.774258,Pass
217.27995,36.097415,56.620026,194.623456,Pass
208.005608,33.316749,61.328626,194.835181,Pass
230.487264,17.435805,86.779373,236.249805,Pass
315.726439,54.428784,147.545672,333.323606,Pass
245.707697,17.2828,91.575217,240.938183,Pass
219.290342,49.054047,71.116887,226.009607,Pass
129.012181,17.779402,46.600817,135.174767,Pass
163.398929,27.085515,59.912492,146.535042,Pass
279.102081,69.422648,95.089865,251.848655,Pass
250.018986,30.554608,79.605186,280.818164,Pass
207.131418,25.814735,66.707768,183.020354,Pass
103.063364,0.196843,36.077785,10.990416,Pass
