@relation   union_files_*.arff_(total_attributes:_6_total_instances:_261)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
123,3,26,0,110.5,Pass
127,12,49,0,114,Pass
143,5,64,0,131,Pass
77,23,28,0,85.5,Fail
243,82,54,0,220.5,Fail
219,12,58,0,186.5,Pass
219,36,97,0,209.5,Fail
138,4,23,0,106,Fail
76,19,26,0,81,Pass
138,40,53,0,150,Pass
202,55,63,0,199.5,Pass
164,9,62,0,154,Fail
185,9,27,0,144,Pass
82,4,11,0,64,Pass
179,17,43,0,148,Fail
237,28,39,0,187,Pass
168,7,16,0,124.5,Pass
180,24,63,0,223.5,Fail
216,23,49,0,198,Fail
186,31,97,0,193.5,Pass
213,9,56,0,176.5,Pass
199,21,49,0,177,Pass
126,13,62,0,125.5,Pass
198,38,56,0,185,Pass
104,28,15,0,121.5,Fail
346,24,68,0,270.5,Pass
149,4,43,0,126.5,Pass
67,0,12,0,50,Fail
103,26,30,0,112.5,Pass
141,31,36,0,135,Fail
263,36,78,0,230.5,Pass
151,20,23,0,121,Pass
111,27,50,0,153,Fail
170,12,25,0,132,Fail
172,30,43,0,159.5,Fail
133,11,59,0,129,Pass
270,40,67,0,235.5,Pass
186,63,48,0,189.5,Fail
170,9,70,0,167,Pass
279,43,78,0,251.5,Pass
235,76,45,0,233,Fail
153,26,64,0,158,Pass
266,39,74,0,239.5,Pass
198,11,40,0,155,Pass
118,38,19,0,106,Fail
205,50,74,0,200.5,Fail
133,7,30,0,110.5,Pass
119,10,30,0,98.5,Fail
183,7,20,0,136,Pass
158,17,58,0,146,Pass
462,1726,105,0,1197.5,Pass
150,22,77,0,157,Pass
170,74,69,0,213,Pass
180,13,36,0,141.5,Pass
109,14,20,0,95.5,Pass
145,23,29,0,130,Pass
0,0,0,0,0,Pass
81.219875,17.703283,28.072471,0,94.739615,Fail
219.871085,38.766192,94.729381,0,216.131082,Fail
216.769246,41.166036,77.117351,0,204.249815,Fail
134.865062,16.85887,22.440949,0,106,Fail
169.113521,9.070254,35.914632,0,152.341468,Fail
174.960298,19.663876,43,0,148.122871,Fail
198.964124,29.85018,67.30355,0,220.612138,Fail
208.166324,23.432007,52.264181,0,198.977336,Fail
100.953838,26.85599,27.894467,0,86.860267,Fail
70.746495,10.657045,17.337763,0,67.896813,Fail
160.742974,30.722063,38.386405,0,137.858422,Fail
113.15665,34.890546,20.165148,0,144.885505,Fail
177.210414,12.549205,34.338163,0,137.760878,Fail
171.490181,15.997506,38.949597,0,137.400488,Fail
184.737948,48.565051,46.396078,0,178.313801,Fail
208.589281,57.61685,65.977778,0,200.919181,Fail
109.647897,28.527398,16.962452,0,116.970407,Fail
208.790511,69.748668,73.437593,0,201.96052,Fail
125.179115,23.49003,32.120035,0,111.887153,Fail
54,15,24,?,61.5,Pass
252,20,82,?,217,Pass
105,16,7,?,98.5,Fail
251,33,49,?,200.5,Pass
267,64,48,?,257.5,Pass
161,0,41,?,153,Fail
110,1,20,?,100,Fail
204,28,51,?,234,Fail
149,25,63,?,143.5,Pass
134,4,30,?,107.5,Fail
295,10,52,?,256.5,Fail
124,16,43,?,115,Pass
107,6,39,?,116,Pass
118,16,25,?,102,Pass
130,14,52,?,125,Pass
135,34,36,?,132,Pass
172,14,63,?,164.5,Fail
173,15,47,?,148,Pass
147,20,41,?,140.5,Pass
411,13,140,?,338.5,Pass
86,4,32,?,78,Pass
80,7,36,?,89.5,Fail
614,60,134,?,462.5,Pass
34,0,0,?,27.5,Fail
129,6,18,?,110,Pass
103,5,22,?,79,Fail
99,12,35,?,113.5,Fail
61,1,15,?,56.5,Pass
171,15,54,?,153.5,Fail
167,14,62,?,150,Pass
103,6,36,?,103.5,Fail
147,14,69,?,140,Pass
128,17,29,?,121.5,Fail
143,4,34,?,116.5,Fail
151,4,60,?,152,Fail
174,63,20,?,165,Pass
95,1,0,?,76,Fail
269,13,93,?,245.5,Pass
123,16,28,?,106,Pass
121,25,50,?,148,Pass
122,55,50,?,151,Pass
124,6,24,?,90.5,Pass
204,9,59,?,166.5,Pass
113,11,42,?,139.5,Pass
201,25,19,?,165,Fail
133,34,60,?,188,Fail
107,9,22,?,96,Pass
159,15,23,?,121.5,Fail
118,19,63,?,133.5,Pass
177,37,63,?,174,Pass
124,15,28,?,124,Pass
81,2,36,?,83.5,Pass
96,8,34,?,121.5,Fail
120,10,51,?,112.5,Pass
135,35,50,?,153.5,Pass
111,72,19,?,119,Fail
149,18,33,?,161.5,Fail
237,24,131,?,239.5,Pass
165,49,52,?,183.5,Pass
84,8,19,?,77.5,Fail
203,25,46,?,165.5,Pass
100,2,53,?,111,Pass
125,4,66,?,141.5,Pass
0,0,0,?,0,Pass
105.502366,9.888403,7.47106,?,99.488301,Fail
161.067289,13.491867,61.677039,?,163.892742,Fail
107.564563,14.709443,17.928586,?,99.446496,Fail
200.173086,17.983034,52.979678,?,221.381875,Fail
114.656851,5.758526,32.70131,?,107.48059,Fail
230.654376,12.975938,53.56225,?,212.180996,Fail
159.177578,4.450692,62.177793,?,162.122472,Fail
80.203004,7.805217,35.821945,?,102.46953,Fail
40.510435,1.650207,16.067458,?,47.827042,Fail
101.134754,1.440365,21.156808,?,77.222862,Fail
101.516822,1.089297,26.206274,?,100.5101,Fail
171.37465,14.53665,57.002492,?,158.375337,Fail
98.778576,6.63687,36,?,98.72719,Fail
130.948707,11.425806,29.308093,?,111.457486,Fail
142.769234,8.66693,32.787608,?,120.505785,Fail
162.756317,12.681097,55.80596,?,152.306953,Fail
105.493909,1,13.991832,?,98.295324,Fail
176.746867,23.205861,47.049887,?,164.99562,Fail
139.71172,6.683014,60,?,158.903331,Fail
160.018986,0.193468,25.758432,?,143.883105,Fail
97.528161,10.617263,34.707768,?,119.372775,Fail
106.062833,70.144055,29.054465,?,117.868097,Fail
151.808689,16.072853,29.466608,?,155.301,Fail
87.892056,3.809573,13.450225,?,76.185336,Fail
239,16,16,30,233,Pass
118,31,51,29,148.5,Pass
50,2,8,20,53.5,Fail
73,11,13,17,68.5,Pass
49,10,35,18,72,Pass
68,12,62,27,99,Pass
79,13,6,17,81,Pass
80,3,107,14,144.5,Pass
56,9,3,15,52.5,Fail
70,9,163,34,151,Pass
58,8,7,15,60.5,Fail
90,25,15,25,100.5,Pass
68,34,4,16,80,Pass
24,2,24,13,38.5,Pass
72,14,95,26,125,Pass
58,4,179,19,142.5,Fail
26,7,6,14,35.5,Fail
72,16,69,29,118,Pass
110,49,86,14,157.5,Pass
71,5,49,13,87,Fail
122,24,211,28,322.5,Fail
22,0,16,23,35.5,Pass
159,38,39,47,204.5,Fail
32,3,11,12,37.5,Fail
102,5,19,21,114.5,Fail
34,1,15,15,39.5,Fail
50,13,132,38,131.5,Pass
61,15,89,22,122.5,Fail
86,4,5,17,70,Pass
69,18,25,19,102,Pass
46,12,9,13,52,Fail
69,14,8,14,70.5,Fail
38,2,56,12,62.5,Pass
59,5,36,13,75,Fail
56,19,30,22,86.5,Pass
35,1,29,15,48.5,Pass
55,1,5,15,45,Fail
48,9,156,13,122.5,Pass
91,2,48,21,107.5,Fail
116,32,38,26,129,Fail
160,24,51,28,192.5,Pass
26,4,56,18,59.5,Fail
67,15,3,25,68,Pass
73,15,28,25,89.5,Pass
64,1,99,23,110,Fail
26,1,51,13,53.5,Pass
75,2,24,17,68.5,Pass
23,1,127,14,88.5,Pass
39,2,7,14,47.5,Pass
84,4,46,33,113.5,Pass
48,2,42,16,66.5,Pass
107,7,95,15,135,Fail
49,2,6,24,65,Fail
143,6,18,17,123,Pass
63,11,10,23,65,Pass
70,1,150,21,157.5,Pass
76,1,31,15,85,Fail
105,14,28,28,119,Fail
97,17,15,18,99.5,Fail
71,37,6,22,75,Pass
81,7,70,18,104,Fail
80,9,113,30,128.5,Pass
117,19,10,28,121,Fail
55,3,77,18,93,Pass
80,14,8,21,77.5,Fail
95,9,17,24,113,Fail
0,0,0,0,0,Fail
50.502366,1.59256,7.891294,16.705664,47.458713,Fail
46.362952,11.819596,8.68317,13.125836,52.301413,Fail
57.681321,8.369003,3.542148,15,55.833169,Fail
58.470241,8.160222,166.421359,21.084844,126.395445,Fail
43.045071,7.11709,8.11503,13.72497,36.743899,Fail
73.885501,4.180346,37.779451,13.369414,86.978631,Fail
92.338165,19.612365,195.557851,27.218748,281.244823,Fail
149.860711,29.791869,32.238482,30.091734,201.299704,Fail
34.030774,2.771198,8.024354,16.689987,52.895437,Fail
99.377453,6.853399,18.33278,22.329637,113.743797,Fail
41.642442,4.057311,12.95451,14.468421,40.958379,Fail
70.242787,5.674809,49.541002,21.790507,119.910268,Fail
54.011571,11.670477,5.887279,14.053452,52.180027,Fail
65.686177,10.110418,6.874888,14.983103,56.034865,Fail
60.081759,5,40.170198,13,79.47448,Fail
50.598214,1.707044,7.170115,17.547465,53.390368,Fail
85.034212,6.736301,59.206515,19.037053,105.022811,Fail
114.104745,22.742812,37.353231,21.268487,126.845732,Fail
38.639098,4.642382,53.526626,17.225125,69.586211,Fail
62.204103,5.089308,90.235573,22.25575,115.290409,Fail
115.735594,28.581445,49.921478,24.280427,132.381392,Fail
49.86245,2,6.124977,20.944718,60.081449,Fail
69.224144,9.196126,18.285418,14.456581,82.075178,Fail
107.711342,18.472798,35.068583,27.324558,125.073351,Fail
101.394381,7.005155,16.059455,19.730135,101.466022,Fail
87.761232,3.422138,53.645868,20.787308,106.064627,Fail
116.899779,16.26813,25.039361,28,120.261056,Fail
51.204295,11.639727,6.490708,21.472892,76.972766,Fail
94.800544,2.725802,26.061919,21.607311,110.101302,Fail
10.132207,2.00122,4.690874,4.806686,27.891058,Fail
