@relation   union_files_*.arff_(total_attributes:_6_total_instances:_368)_author:_Javier_López_Zambrano

@attribute LEARNING/READING/VIEWING numeric
@attribute COMMUNICATING numeric
@attribute WORKING/DOING numeric
@attribute EVALUATING/EXAMINING numeric
@attribute ENGAGEMENT numeric
@attribute final_score {Fail,Pass}

@data
200,7,135,127,263,Fail
196,10,89,88,209.5,Pass
171,23,93,113,219,Fail
319,11,312,118,411.5,Pass
86,5,65,30,112,Pass
340,46,217,250,465,Pass
372,92,341,170,521,Fail
410,23,445,98,530.5,Pass
199,12,176,55,250,Fail
233,4,152,269,354,Pass
247,68,286,84,383,Fail
237,54,175,155,344,Pass
204,23,312,112,360.5,Pass
229,14,185,80,282.5,Pass
131,1,100,50,163.5,Pass
289,19,365,52,406.5,Pass
184,12,162,54,238,Pass
254,13,110,147,291.5,Fail
505,58,681,93,715,Pass
220,4,67,124,248,Pass
201,9,118,210,290.5,Pass
564,72,698,133,778.5,Pass
273,32,316,109,409,Pass
265,19,490,95,472,Pass
361,5,248,78,379.5,Fail
112,0,60,0,106.5,Pass
247,15,203,101,305.5,Pass
335,85,310,152,484,Pass
132,1,21,104,140,Pass
283,19,89,96,276,Fail
143,15,57,54,151.5,Pass
238,38,194,207,368.5,Pass
223,64,160,73,288,Fail
112,0,80,87,162.5,Pass
355,120,261,69,439,Fail
224,7,97,94,237.5,Pass
433,39,327,118,495.5,Pass
247,47,226,123,345.5,Pass
156,7,143,55,200.5,Pass
424,33,217,130,433,Fail
206,45,192,146,325,Pass
358,69,216,110,418,Fail
261,3,387,78,405,Pass
408,58,451,102,557,Pass
433,38,340,97,500.5,Pass
343,38,592,135,602,Fail
318,34,434,103,481.5,Pass
193,6,66,75,200,Pass
101,6,61,0,98.5,Pass
159,23,168,74,234,Pass
226,13,197,105,300,Pass
224,13,413,114,418.5,Pass
247,37,168,108,311.5,Pass
179,22,91,98,219,Fail
234,27,106,223,331.5,Pass
11,0,6,0,10,Pass
284,67,332,116,445,Pass
273,17,86,142,276.5,Fail
240,27,173,118,316,Pass
205.425554,9.444639,134.094115,140.177345,283.256079,Fail
250.987498,13.601346,109.102314,144.860793,247.79514,Fail
369.291228,102.332072,271.842961,115.534773,473.164984,Fail
199.156747,10.10899,170.26973,105.036255,260.467961,Fail
341.600146,68.023418,236.649303,91.150779,385.638573,Fail
264.964905,13.819654,95.039269,146.076465,291.339734,Fail
305.566408,35.713447,252.80985,78.781252,380.221966,Fail
276.689538,16.407959,93.896272,141.385346,276.594067,Fail
218.035885,54.390317,91.560134,87.65621,221.607178,Fail
356.123949,96.369161,245.98754,87.17171,428.413153,Fail
380.055961,57.180547,232.000259,113.786837,433.700022,Fail
323.801686,68.282678,283.369021,104.553189,411.957291,Fail
366.233555,43.931417,461.784498,153.43541,572.835553,Fail
184.098189,14.220836,110.126903,55.726563,243.912177,Fail
273.901466,17.874845,86.962353,111.896403,276.313563,Fail
188,12,118,88,236.5,Pass
205,33,149,110,274,Pass
324,18,241,172,416,Pass
458,130,223,64,479.5,Pass
441,121,328,51,575,Fail
141,16,74,62,170,Pass
244,83,304,72,410.5,Pass
288,68,98,68,318,Fail
585,12,197,86,549.5,Fail
181,3,154,66,228,Fail
352,56,195,83,411,Fail
165,79,315,66,350,Pass
222,29,145,92,300.5,Fail
331,39,325,95,448.5,Pass
217,45,230,46,354.5,Fail
193,102,72,103,302,Fail
119,7,138,76,202.5,Fail
680,91,393,60,773.5,Fail
309,4,164,88,316.5,Pass
210,10,85,46,221.5,Fail
255,13,147,92,282,Pass
209,47,71,100,245,Pass
176,0,155,79,287,Fail
384,68,222,91,461.5,Fail
366,22,207,87,394,Fail
374,59,271,126,467,Pass
366,34,380,103,485,Pass
291,40,163,66,336,Fail
196,0,257,73,296,Pass
198,31,123,78,298.5,Fail
230,68,224,92,370.5,Fail
287,15,292,99,387.5,Fail
233,45,144,79,308.5,Fail
198,42,113,87,256.5,Pass
83,53,50,67,186.5,Fail
315,44,169,78,364.5,Pass
186,5,219,71,300,Fail
230,23,307,122,381.5,Pass
372,20,290,112,438.5,Pass
244,98,138,110,332.5,Pass
211,20,274,97,339.5,Fail
176,21,160,109,262.5,Pass
239,12,289,74,357.5,Fail
280,34,164,160,377,Fail
275,61,159,100,368,Fail
283,68,213,105,381,Fail
126,11,55,130,193.5,Fail
171,14,116,64,214.5,Fail
226,31,204,112,336,Fail
297,100,240,86,457,Fail
249,43,337,70,415,Fail
284,42,131,111,319.5,Pass
167,9,169,51,235,Fail
295,17,330,77,402.5,Pass
197,116,226,70,351.5,Pass
241,65,158,80,322,Fail
224,17,107,40,242.5,Pass
301,27,694,68,642.5,Fail
213,53,288,68,375.5,Pass
120,3,59,56,133.5,Fail
185,64,194,49,288.5,Fail
271,27,184,85,337.5,Pass
332,25,348,104,444.5,Pass
247,15,476,114,527.5,Fail
189.004732,24.223194,117.818823,87.341133,250.714793,Pass
188.617018,13.262827,119.636958,89.384193,259.105962,Pass
331.648298,18.738005,283.358686,139.64442,429.125462,Pass
444.519767,88.397775,232.3641,97.357503,446.485661,Pass
189.578453,16.60887,101.495388,68.875749,176.521045,Pass
226.109892,76.852594,294.026179,71.261172,410.126046,Pass
196.606873,51.699159,313.9874,73.291687,356.49769,Pass
339.921687,30.791869,316.839547,110.128449,448.116731,Pass
297.266637,10.635257,149.121768,100.897465,275.60587,Pass
236.267525,22.266996,147.66722,99.977824,277.966915,Pass
218.553052,38.66188,83.27294,84.052626,244.708324,Pass
361.060098,34.611038,345.105924,121.39116,463.115402,Pass
338.76066,33.01143,363.398821,103.526726,470.417777,Pass
188.097807,61.455392,270.051298,66.118278,339.395405,Pass
198.991612,44.187113,99.527054,95.507538,252.211957,Pass
309.717856,15.718231,165.383142,83.094929,317.119097,Pass
219.85816,51.417805,297.321646,86.666954,377.253391,Pass
364.319228,18.148562,291.124815,91.299631,435.871063,Pass
263.941689,63.311353,148.953515,105.0408,344.236682,Pass
193.360342,24.505121,150.359131,109.74425,267.367176,Pass
314.089268,43.726516,161.052348,83.158719,339.139559,Pass
326.048191,36.842327,329.687558,90.748769,422.174204,Pass
242.49503,95.19445,269.119018,71.086838,363.401,Pass
231.641055,16.006045,135.274333,57.561488,266.489736,Pass
170.81394,74.655498,295.151324,66.846577,372.157763,Pass
296.69268,10.541833,169.132608,87.787308,325.112236,Pass
331.991648,32.649236,328.783039,97.292281,445.977889,Pass
370,64,177,3,536,Pass
252,7,103,5,246,Fail
164,24,84,10,165,Pass
310,6,104,5,324.5,Pass
608,99,98,5,481,Fail
123,6,47,5,115.5,Fail
234,29,126,6,283,Fail
284,5,127,8,265,Fail
186,2,102,7,244.5,Pass
130,6,139,7,168.5,Fail
46,10,25,5,123.5,Fail
419,42,139,8,410,Pass
134,5,66,8,180.5,Fail
130,6,61,0,159,Pass
326,13,109,12,266,Pass
253,50,225,8,318.5,Pass
146,12,103,0,200.5,Fail
346,79,124,5,338.5,Fail
299,38,97,6,286,Pass
107,30,74,7,138.5,Fail
336,22,145,6,357.5,Fail
104,38,81,5,170.5,Fail
486,15,140,7,456.5,Fail
133,3,53,7,143.5,Pass
202,32,96,6,283,Fail
207,22,85,7,226.5,Pass
183,19,101,6,175.5,Pass
428,59,181,8,472,Fail
224,32,88,9,209,Pass
249,40,111,7,303,Pass
227,19,220,6,405,Pass
265,33,178,5,297,Pass
182,4,80,7,158,Pass
217,21,116,5,312,Fail
168,14,58,6,176,Pass
332,52,153,6,344,Fail
70,8,71,5,99,Pass
441,14,214,10,407,Pass
111,57,69,7,161.5,Pass
87,4,33,0,82,Fail
246,18,136,5,277,Fail
330,48,196,7,337.5,Pass
182,2,98,5,191,Pass
207,2,122,5,211,Fail
306,80,178,7,328.5,Pass
136,8,79,22,210,Pass
447,15,277,5,691.5,Fail
318,56,176,9,323,Pass
130,39,88,7,172,Fail
269,50,225,6,327.5,Pass
205,37,246,9,386,Fail
151,6,86,5,175,Fail
100,2,63,5,105,Pass
591,91,149,6,609.5,Pass
182,12,102,6,268.5,Pass
380,40,163,11,336,Pass
253,33,166,11,527.5,Fail
206,13,111,7,228.5,Fail
155,23,138,5,221.5,Fail
129,1,75,5,174.5,Pass
156,11,90,7,233,Fail
255.215143,6.18512,103.869649,6.976602,259.504053,Fail
